escalation_level,age,tenure_months,loyalty_status,segment,region,industry,channel,issue_category,issue_subtype,product_line,device_type,time_of_day_bucket,wait_time_seconds,previous_interactions_30d,resolution_time_minutes,agent_experience_years,first_contact_resolution,number_of_transfers,SLA_breaches_last_6m,lifetime_tickets,average_response_delay,sentiment_score,monthly_fee,subscription_value_str,churn_risk_band,priority_flag,behaviour_score_1,behaviour_score_2,behaviour_score_3,behaviour_score_4,behaviour_score_5,ops_telemetry_kpi_1,ops_telemetry_kpi_2,ops_telemetry_kpi_3,ops_telemetry_kpi_4,ops_telemetry_kpi_5,post_interaction_quality_score,risk_indicator,service_pressure_score,customer_engagement_score
Minor escalation,19.0,38,Bronze,Student,South East,Education,Chat,Account,Locked account,Standard,Mobile,Morning,375,2,19,2.9,Yes,1,0,22,1.55,-0.066323572,55.15,428.25,Low,Yes,13.5,57.3,65.0,21.4,47.5,0.222,-0.8504,0.6233,0.239,-2.9335,3.245804168,2.7150772021653324,20.036019690674724,7.400151828121331
Minor escalation,25.0,0,Gold,Retail,Scotland,Retail,Phone,Orders,Delayed delivery,Premium,Web,Morning,148,4,55,7.8,Yes,0,2,20,2.23,1.058851115,9.96,448.88,Low,No,43.0,44.4,79.2,56.1,18.6,-0.984,0.4567,0.3317,-1.5139,-0.554,2.425282915,12.396592663953657,11.272796129571976,9.151712395770998
No escalation,45.0,28,Bronze,Enterprise,North West,Education,Chat,Account,Wrong item,Standard,Mobile,Morning,237,3,29,3.4,No,0,0,28,3.17,-1.780680998,42.48,555.36,Medium,No,82.8,38.5,68.0,39.9,52.0,0.3848,0.4269,-1.2326,0.5624,0.5718,0.739742966,0.0,9.945786553430011,9.743868993370725
No escalation,42.0,26,Bronze,Retail,South East,Finance,Phone,Billing,Payment failed,Basic,Mobile,Morning,243,0,8,6.4,Yes,1,0,22,2.51,0.714950822,32.24,591.45,Medium,No,55.9,55.2,47.6,65.1,56.0,1.4422,-1.1121,-0.572,0.939,0.6928,0.588276251,0.0,10.17055698588248,3.8180546825473
No escalation,30.0,47,Bronze,Student,London,Tech,Phone,Technical,Invoice error,Premium,Mobile,Evening,214,1,17,0.1,Yes,0,1,3,2.96,-1.916683702,72.73,680.5,Low,No,40.8,60.8,53.0,18.6,53.6,-1.9765,0.4098,0.1412,-0.1667,-0.186,0.295817059,8.14197258161624,8.50119190940148,6.033447430368013
Serious escalation,35.0,21,Silver,Retail,South East,Education,Phone,Technical,Invoice error,Premium,Mobile,Night,50,1,15,6.4,Yes,1,0,8,2.11,0.629322685,12.56,239.37,Low,No,58.3,46.3,58.6,44.1,58.0,0.3849,-1.0338,-0.0571,-0.2163,1.4679,5.832254899,26.668499453777635,12.919870821545294,9.946304968278112
No escalation,29.0,72,Bronze,Retail,Scotland,Hospitality,Phone,Account,Slow internet,Basic,Mobile,Afternoon,53,2,11,3.6,Yes,0,1,4,2.18,,15.7,460.59,High,No,50.4,42.9,50.4,65.9,44.3,1.3506,-0.7749,0.5365,0.7252,-1.4014,-0.753773227,0.0,7.747106313667499,
Minor escalation,38.0,46,Silver,Student,London,Retail,Phone,Technical,Delayed delivery,Standard,Web,Afternoon,428,3,66,3.8,Yes,0,1,5,2.84,1.819053927,41.96,692.29,Low,No,44.3,55.7,45.8,76.5,37.0,-0.3838,0.6138,-0.7704,1.3839,-0.7964,4.166108145,17.412488319208276,20.473435493792213,5.322641513857601
No escalation,43.0,91,Silver,Retail,Wales,Retail,Phone,Returns,Password reset,Premium,Mobile,Evening,33,1,57,3.5,Yes,0,0,34,2.91,0.361034784,46.34,103.78,Low,No,44.6,56.6,57.2,37.6,61.5,-0.9437,-0.3932,1.2131,1.2201,-1.8356,0.435378058,0.0,1.1366761998164006,0.4522178919975879
Minor escalation,27.0,0,Gold,Other,London,Retail,In-app,Account,Damaged item,Premium,Mobile,Afternoon,222,1,47,4.8,Yes,0,0,17,1.83,-1.428710453,40.48,426.75,Low,No,51.4,63.2,50.7,71.4,30.0,1.051,0.2752,-0.3001,0.1143,-0.3115,3.32056571,24.656029614417868,15.403616527053448,9.24531854414812
No escalation,33.0,34,Bronze,Enterprise,London,Healthcare,Phone,Billing,Refund status,Basic,Mobile,Evening,181,3,81,6.6,No,0,0,19,4.03,-0.372196258,47.43,439.55,Low,No,53.7,44.6,79.0,59.3,48.9,-2.0038,1.2166,-0.4548,1.5217,-0.7726,-0.304459205,2.683223001859333,10.14307284935375,8.185957993578896
No escalation,57.0,49,Silver,Retail,Midlands,Tech,Chat,Account,Wrong item,Basic,Desktop,Night,328,1,9,4.8,Yes,1,0,8,0.51,1.09031859,13.96,92.34,Low,No,55.9,35.1,57.9,41.2,15.1,-1.4246,-0.5311,0.7373,-0.2175,-1.3293,-0.206218116,0.1227835277026049,10.53456461881473,2.62495539906367
Minor escalation,25.0,0,Bronze,Retail,Wales,Education,Phone,Technical,Invoice error,Standard,Call-Centre,Afternoon,66,0,14,4.8,Yes,2,1,5,0.96,-1.617204077,6.35,300.83,Low,No,51.5,56.6,46.5,28.1,44.1,2.4818,1.6322,0.5819,-0.5032,-0.3129,2.910654429,9.326216334839275,12.738163822877738,6.556125177934234
No escalation,41.0,83,Bronze,Enterprise,South East,Tech,Phone,Billing,Wrong item,Basic,Mobile,Evening,211,1,27,2.3,No,0,0,12,1.31,1.545913172,29.08,277.3,Low,No,56.3,4.5,45.7,39.1,51.7,-1.091,0.9578,-0.625,-0.3802,-0.8879,-0.380508154,0.0,5.565722756034385,3.708327540916783
No escalation,49.0,13,Gold,Business,Scotland,Finance,Chat,Technical,Outage,Basic,Web,Evening,186,1,46,4.2,Yes,0,2,6,2.51,,47.2,570.61,High,No,29.4,35.2,48.4,47.8,51.0,-1.4093,-0.3003,-1.2243,-0.3188,0.5915,-0.302074316,0.0,8.581643583269221,
No escalation,46.0,0,Silver,Retail,South East,Healthcare,Phone,Billing,Delayed delivery,Standard,Mobile,Morning,181,1,1,1.1,No,1,1,1,0.5,-1.328906999,28.3,428.73,Low,No,26.4,57.5,49.6,49.3,29.6,-0.0638,0.308,-0.02,-1.6629,2.1128,-1.671861263,1.2073845980180855,7.869268839867147,5.903970561417738
Minor escalation,26.0,33,Bronze,Business,London,Healthcare,Phone,Technical,Solw internet,Standard,Desktop,Afternoon,0,1,48,0.9,Yes,1,0,36,3.09,-2.671484094,55.09,600.82,High,No,36.4,52.3,62.5,54.6,58.4,0.2415,-0.0515,-1.6445,-1.1173,2.7394,2.982292366,21.613291206990617,3.565373130590078,14.607753650914525
Serious escalation,42.0,9,Silver,Enterprise,London,Education,Phone,Technical,Slow internet,Standard,Web,Evening,227,1,32,4.2,Yes,0,1,6,5.11,0.349343221,51.07,,Medium,Yes,32.5,58.7,65.7,37.1,47.3,1.3449,-0.0656,0.2356,0.7718,0.4982,5.946742087,30.13941035241478,20.02608711670567,8.414955908298516
Minor escalation,23.0,119,Gold,Retail,South East,Tech,Phone,Billing,Delayed delivery,Standard,Desktop,Morning,248,1,65,1.0,Yes,1,1,26,3.0,0.310063825,36.37,445.25,Low,Yes,51.2,49.7,58.3,27.0,32.4,-2.7197,1.0348,0.0327,-1.4241,0.8906,2.846913963,20.236097050381574,14.845952289845947,8.14780674868762
Serious escalation,30.0,65,Bronze,Retail,London,Retail,Chat,Orders,Refund status,Basic,Web,Morning,347,3,18,1.0,Yes,2,1,7,4.14,-0.097755525,34.51,748.3,Low,Yes,59.2,52.5,77.3,45.2,84.0,0.9946,-1.4879,-0.5802,-0.1951,-0.202,6.347844043,25.560489263173505,22.513206017875714,6.863517291118907
Serious escalation,22.0,1,Silver,Retail,Midlands,Healthcare,Chat,Billing,Other,Basic,Mobile,Evening,159,2,1,2.6,No,2,0,5,1.29,-0.656024886,32.38,50,Medium,No,57.6,52.5,56.7,72.4,32.5,1.08,0.6157,-1.2033,1.774,0.6513,5.794217149,32.68983590595191,13.814438296088529,6.823665288342685
Minor escalation,40.0,42,Silver,Other,Midlands,Tech,Chat,Account,Delayed delivery,Premium,Web,Evening,246,4,100,3.3,Yes,1,0,22,2.17,1.836016324,46.65,170.75,Low,No,39.7,29.4,81.9,63.1,29.1,-0.2677,-0.1295,0.9348,0.4404,-0.288,2.255500605,14.564675799978774,12.654913525783467,8.570420186521854
Minor escalation,49.0,13,Gold,Retail,Wales,Retail,In-app,Account,Damaged item,Premium,Mobile,Evening,200,1,53,3.8,Yes,0,0,10,3.01,-1.209195996,5.0,424.26,Low,Yes,63.0,54.2,58.6,58.7,48.2,1.6941,1.7382,0.3252,-2.0832,0.5499,3.936275478,2.4140054160638758,10.116814969045839,8.292842359644258
Minor escalation,46.0,38,Bronze,Retail,London,Hospitality,In-app,Billing,Refund status,Standard,Mobile,Evening,195,2,72,2.2,No,0,0,30,1.49,0.277044639,32.95,260.13,Low,No,34.0,43.3,62.8,73.1,57.1,2.486,0.0241,-0.5199,-0.6056,-0.6753,2.778972273,16.048030202485563,15.858911183153866,9.237036403430713
No escalation,18.0,26,Silver,Retail,Scotland,Healthcare,Chat,Technical,Slow internet,Standard,Desktop,Morning,210,2,61,4.6,Yes,0,0,6,2.38,-0.636192374,33.33,583.14,Low,No,57.4,35.1,54.8,28.3,63.4,-0.0124,-1.6979,1.1634,-0.1107,0.8681,0.909591465,4.122901123192079,7.434832999152802,3.0643056647122062
No escalation,58.0,60,Bronze,Retail,North West,Retail,Phone,Billing,Damaged item,Standard,Web,Morning,229,1,69,4.8,No,2,0,5,4.68,-0.688748934,14.08,786.65,Low,No,77.4,66.0,58.1,58.7,47.0,0.5175,-1.4293,-0.1144,0.5016,-0.7144,0.371210339,0.0,12.26463712916268,5.838718476213506
Serious escalation,28.0,5,Silver,Business,London,Retail,Chat,Billing,Delayed delivery,Standard,Mobile,Morning,203,2,45,1.7,Yes,1,0,33,1.76,0.286732166,36.32,901.64,Low,No,36.4,60.9,40.3,34.3,53.1,1.0527,-1.3923,-0.2583,1.8336,-0.1443,6.007589174,25.065034128964708,16.503816442816657,13.605725199143253
Serious escalation,18.0,0,Bronze,Retail,South East,Tech,Phone,Technical,Delayed delivery,Standard,Mobile,Afternoon,206,1,1,1.7,No,0,0,24,1.22,-1.145410546,19.15,611.45,Low,No,62.2,44.0,38.8,51.5,74.6,-1.7711,0.1098,-0.5984,2.0524,0.2256,5.493649111,31.776938147298956,11.803116940618303,13.144466719158498
No escalation,52.0,49,Gold,Enterprise,South East,Healthcare,Phone,Account,Password reset,Basic,Call-Centre,Morning,118,0,34,5.4,Yes,0,0,35,2.85,0.471670781,39.04,293.68,High,No,68.5,24.8,16.2,35.3,80.9,0.4692,0.6382,0.8065,-0.7017,0.9521,0.139354268,0.0,1.9527122422161431,3.7639529632812536
No escalation,44.0,73,Bronze,Retail,North West,Education,Phone,Other,Damaged item,Premium,Web,Evening,234,1,68,4.2,No,0,4,24,1.8,0.281963,61.19,550.74,Medium,No,50.2,17.8,46.7,59.9,41.8,-1.0019,1.0488,-0.743,-0.1383,0.6409,0.413566183,5.389958772104948,14.789171393906168,7.611579190130778
Minor escalation,40.0,70,Silver,Business,Scotland,Tech,Chat,Returns,Slow internet,Basic,Desktop,Morning,61,1,1,6.0,Yes,0,1,8,0.53,0.980375785,24.67,415.71,Low,No,55.0,55.7,51.8,54.6,23.9,-1.399,-1.0875,0.0228,-0.7252,0.8421,2.004818772,8.690609316981213,10.895066446638886,4.200627274951131
Minor escalation,39.0,33,Bronze,Retail,North West,Finance,Chat,Returns,Payment failed,Premium,Mobile,Evening,137,2,43,3.5,Yes,0,0,45,1.48,-0.780182811,23.99,371.64,Low,No,40.1,34.2,53.4,42.1,60.4,0.8276,0.1706,-1.3738,0.18,-1.0199,2.64394252,14.820632359404453,9.424905233447435,16.465045268706064
Minor escalation,30.0,0,Bronze,Retail,South East,Education,Phone,Returns,Refund status,Standard,Mobile,Morning,109,0,71,6.0,Yes,1,0,2,1.25,-1.621240629,21.21,536.72,Low,No,54.3,61.5,49.7,15.3,70.0,0.3205,-0.484,0.165,0.4895,-1.4779,2.290939356,18.72476175914277,8.556509362247528,
Serious escalation,47.0,44,Bronze,Retail,North West,Healthcare,Phone,Account,Other,Standard,Desktop,Afternoon,134,2,23,4.3,Yes,0,0,32,4.96,-0.044568647,72.25,539.83,Low,No,30.7,38.1,66.3,64.1,51.7,-0.8746,-1.2476,0.0398,1.5633,-1.0475,6.382389689,32.049727158364334,10.56239070677208,12.588637551983306
Minor escalation,44.0,23,Bronze,Business,Scotland,Tech,Phone,Technical,Delayed delivery,Enterprise,Mobile,Afternoon,0,1,65,0.0,Yes,2,1,18,2.92,-0.047758785,72.58,392.68,High,No,33.1,95.3,17.7,29.2,72.5,-0.6161,-0.1708,1.9577,0.0221,0.1737,2.80517094,13.263436130426223,7.72372037354167,6.293956511172636
No escalation,34.0,66,Silver,Retail,Midlands,Finance,In-app,Billing,Slow internet,Standard,Web,Morning,315,4,52,7.4,Yes,1,0,7,4.93,-2.134194308,18.5,618.79,High,Yes,59.0,67.7,44.8,27.5,65.4,-0.6245,-0.1638,0.6404,1.1648,0.1903,0.521652357,4.418614072994089,12.279011911062984,10.639044948920116
No escalation,37.0,61,Silver,Enterprise,London,Finance,Phone,Technical,Locked account,Enterprise,Mobile,Afternoon,249,1,56,1.4,No,1,2,21,3.17,0.028223982,60.48,391.49,Medium,No,55.4,66.0,60.5,62.2,39.0,0.5131,-1.6932,-0.4151,-0.4243,0.3217,0.659601005,6.27873457701992,13.438344897495803,1.1370766051840189
Serious escalation,34.0,31,Gold,Retail,London,Finance,Phone,Billing,Refund status,Premium,Desktop,Evening,136,1,54,6.4,Yes,0,0,20,3.19,2.515692429,5.0,262.61,Low,No,50.2,70.7,57.2,27.1,30.8,-0.6026,-0.4906,-1.2599,1.8194,0.5923,5.802979393,23.820207177555503,14.439328838001334,5.355346463719465
No escalation,30.0,31,Silver,Business,South East,Education,Chat,Billing,Invoice error,Standard,Mobile,Evening,286,1,40,5.3,Yes,1,0,11,0.5,0.77433187,55.2,447.23,Medium,Yes,41.2,62.0,52.2,36.3,58.1,-0.8813,0.4236,-1.4421,0.1377,0.4261,-1.069801394,1.2924850178526124,7.7986484020453855,6.831523157892876
No escalation,48.0,10,Bronze,Retail,North West,Tech,Phone,Technical,Other,Standard,Web,Evening,64,0,4,2.9,No,0,0,11,2.72,0.675628015,49.88,598.6,Low,Yes,24.9,42.2,50.4,54.9,47.6,-0.0494,-1.1715,0.0099,-0.506,0.7184,-0.738366381,0.0,4.420746185384883,2.5024891525177377
Serious escalation,47.0,39,Gold,Retail,Lonodn,Healthcare,Phone,Technical,Slow internet,Premium,Desktop,Afternoon,94,0,56,2.3,Yes,0,0,10,3.73,-0.403599094,51.93,435.71,Low,No,52.2,40.7,58.0,41.3,26.5,-0.5034,-0.4567,-0.3068,-0.7737,-1.3911,6.06173623,28.192194215826483,9.960963484691273,12.128059599095948
Serious escalation,36.0,15,Silver,Retail,North West,Tech,Chat,Technical,Refund status,Premium,Call-Centre,Afternoon,33,0,17,0.0,Yes,0,3,52,2.87,-0.797325414,53.81,221.39,Low,No,43.1,37.1,62.7,60.6,33.4,0.4338,1.353,-0.8433,0.6312,1.4704,6.315253246,38.455778921052705,16.57214009251805,18.336287234406523
Serious escalation,23.0,0,Gold,Retail,North West,Education,Phone,Other,Damaged item,Basic,Web,Evening,67,1,51,1.1,No,0,0,6,2.18,-1.281574587,38.38,735.52,Low,No,56.2,50.0,64.2,53.8,68.8,0.7792,-0.3053,-1.259,-0.0455,-1.958,7.18889187,32.09373555620729,8.601171794952077,8.647831091436228
No escalation,59.0,44,Silver,Retail,Wales,Education,Chat,Account,Slow internet,Basic,Mobile,Afternoon,254,1,34,3.5,Yes,0,0,19,5.35,0.14604152,24.3,379.17,Low,Yes,52.4,44.0,45.7,72.1,59.9,-2.808,-0.6682,0.2184,0.6667,-2.3234,0.266290392,4.022670391722447,6.610349785743722,5.5656135311591015
Minor escalation,25.0,31,Bronze,Retail,London,Healthcare,Email,Technical,Slow internet,Standard,Desktop,Night,180,3,12,,Yes,1,0,10,2.64,-0.642538967,28.09,50,Low,No,34.9,48.1,71.7,27.3,37.7,0.259,1.3724,-0.5742,0.296,0.5965,3.443419902,19.444536448671357,9.36574481034871,9.45403544399112
Minor escalation,42.0,9,Bronze,Retail,Wales,Healthcare,Email,Billing,Locked account,Enterprise,Web,Evening,90,3,92,5.9,No,0,0,11,3.05,-0.564727888,17.24,,Medium,No,28.8,59.4,33.7,58.5,33.8,2.3938,-0.818,0.7906,-0.8818,0.1887,3.299584016,15.231930549766094,10.134285174199686,11.179012299193507
Minor escalation,23.0,12,Silver,Retail,Scotland,Tech,Phone,Returns,Damaged item,Basic,Mobile,Evening,103,1,7,4.6,Yes,0,0,11,1.74,0.557480812,20.71,265.42,Medium,No,36.2,39.3,31.9,60.9,68.6,0.7716,0.5952,1.4143,1.4641,0.6308,1.658440393,10.492094089485956,,5.009806636165455
No escalation,51.0,87,Bronze,Student,London,Retail,Phone,Returns,Slow internet,Standard,Call-Centre,Morning,233,0,24,4.7,Yes,2,1,14,2.48,-0.294111339,51.56,321.15,Low,No,53.4,40.4,65.4,70.5,51.2,1.5889,0.0577,0.4159,0.9139,0.9564,-0.314117263,1.0308674500765769,12.457734007607554,2.7679982194863566
No escalation,24.0,0,Silver,Enterprise,London,Finance,Phone,Account,Invoice error,Standard,Mobile,Afternoon,125,0,78,4.1,Yes,0,0,5,3.4,-0.533746355,50.21,697.1,Low,No,45.6,49.0,45.7,25.0,32.8,0.7193,0.5791,0.4409,0.5385,-1.585,-0.613254737,12.109528676546422,5.415207856952418,0.5704493961482817
No escalation,24.0,84,Bronze,Retail,London,Healthcare,Email,Other,Invoice error,Premium,Web,Afternoon,103,1,66,6.3,Yes,0,0,37,3.55,-1.216964884,24.38,648.1,Low,No,49.5,47.9,52.0,50.4,36.0,1.3977,0.578,-0.6761,-0.0475,0.1645,0.368165266,3.7112531248830756,,10.108577176511497
No escalation,46.0,42,Gold,Retail,North West,Retail,Chat,Technical,Invoice error,Standard,Mobile,Afternoon,22,1,54,8.4,Yes,0,1,15,3.4,0.232503671,45.12,243.78,Medium,No,50.6,53.5,37.9,35.8,43.4,-0.8616,-2.5185,-0.0481,-0.3305,0.2935,0.312943646,0.0,3.5122401952751408,4.814999534213617
No escalation,35.0,47,Bronze,Other,London,Tech,In-app,Technical,Slow internet,Premium,Web,Evening,62,0,46,5.8,No,3,0,9,3.38,,64.58,278.61,High,No,47.0,51.6,45.4,64.1,63.5,-0.5736,1.2397,1.6331,-1.2603,-0.4726,0.629941778,0.0,5.848815781076042,
No escalation,63.0,29,Bronze,Retail,Midlands,Tech,In-app,Technical,Damaged item,Standard,Web,Afternoon,375,1,1,0.4,Yes,2,0,13,1.82,-0.204391511,35.63,170.33,High,Yes,44.7,33.1,51.0,67.8,47.5,-0.3494,-0.8799,0.7792,0.6848,-0.374,-0.965988101,0.0,14.5752465885473,5.260706346954254
No escalation,46.0,58,Silver,Retail,North West,Education,Chat,Billing,Payment failed,Basic,Mobile,Afternoon,182,1,19,4.9,Yes,0,0,11,5.42,-0.700830386,10.98,537.9,Low,No,39.7,60.7,56.3,54.3,34.2,-0.8515,0.3333,1.0413,0.2436,0.4549,-0.19982596,0.0,6.250997138808902,6.942242584903346
No escalation,37.0,59,Bronze,Enterprise,London,Retail,Chat,Account,Invoice error,Basic,Mobile,Afternoon,188,2,72,1.6,No,0,0,18,2.32,-0.682369508,51.28,604.78,Low,No,71.7,63.2,30.6,59.2,54.8,0.8778,1.2019,-2.0236,-0.5454,0.0644,0.560013102,4.765173151638341,6.973281750089121,5.474447934024894
No escalation,28.0,1,Bronze,Retail,Midlands,Finance,Phone,Billing,Wrong itme,Basic,Web,Afternoon,97,1,48,0.0,Yes,0,2,11,4.17,-0.91529455,36.42,303.29,Low,No,31.3,58.0,43.8,69.6,46.1,-0.2759,-0.2349,0.9209,0.7903,0.7049,1.207484094,0.5481007625620307,4.780775962786084,1.549977058848523
Minor escalation,43.0,0,Bronze,Business,South East,Hospitality,Phone,Technical,Invoice errro,Standard,Mobile,Morning,234,2,73,3.5,No,0,0,23,2.16,-2.135530175,32.12,50,Low,No,65.4,30.9,15.7,43.4,99.4,0.1079,-0.2073,-0.0841,0.0627,-0.2568,3.668925948,12.951334777004725,11.472816952174803,10.885651600463481
No escalation,34.0,44,Bronze,Business,North West,Education,Phone,Billing,Wrong item,Premium,Web,Afternoon,205,3,16,2.8,Yes,0,0,24,1.29,-1.093181018,61.6,510.27,Low,No,65.3,65.5,64.6,32.0,50.7,-0.1923,0.9124,-1.8627,-1.0662,0.6297,0.190481754,0.0,6.961333899990542,
No escalation,36.0,10,Bronze,Retail,Scotland,Retail,Chat,Returns,Refund status,Enterprise,Mobile,Morning,179,1,41,1.1,No,0,0,6,3.46,,28.14,441.52,Low,No,47.7,51.6,64.4,74.0,47.0,-0.2272,-1.1146,0.3017,1.2636,-0.269,-0.084976681,0.0,8.80429121418264,
Minor escalation,31.0,39,Bronze,Enterprise,Midlands,Education,Email,Orders,Locked account,Basic,Desktop,Evening,195,1,54,0.8,Yes,1,0,24,2.28,0.557037414,41.54,639.27,Low,No,69.5,51.3,34.6,62.8,71.6,-0.9536,0.745,0.9157,-2.527,1.6661,3.678890455,27.19620037818923,8.490870495896335,5.86111883320543
Minor escalation,35.0,67,Bronze,Other,Midlands,Retail,Chat,Technical,Password reset,Basic,Mobile,Afternoon,233,1,36,5.6,Yes,1,0,12,1.53,-0.011036473,26.88,312.73,Medium,No,53.2,63.4,59.0,50.6,59.5,0.8,1.5557,-0.8147,2.1,0.0417,2.654202609,7.68628257880189,12.253984417041211,4.5143594676761785
No escalation,26.0,28,Gold,Enterprise,South East,Healthcare,Phone,Account,Invoice error,Premium,Web,Afternoon,43,1,28,5.1,No,0,1,15,3.38,2.14279096,65.62,361.81,Low,Yes,19.3,37.5,55.9,71.3,58.9,0.2346,-0.6609,-2.5688,0.7635,-0.0275,-0.318431406,3.715941804402877,1.663346021220155,0.0067665132048431165
No escalation,19.0,48,Bronze,Enterprise,Midlands,Finance,Phone,Billing,Slow internet,Standard,Desktop,Afternoon,163,3,1,4.0,Yes,0,1,9,1.67,-0.303577618,44.22,193.56,Low,Yes,78.9,32.8,85.9,26.5,66.2,-0.288,2.2472,-0.7275,1.5136,1.3117,0.078491929,0.0,5.154150982777394,7.318377802112431
Serious escalation,41.0,0,Bronze,Student,London,Tech,Chat,Account,Password reset,Standard,Web,Morning,212,1,30,2.8,Yes,0,0,5,0.0,0.027969012,44.69,505.96,Medium,Yes,16.2,19.2,51.3,40.5,35.3,-0.0279,-0.1422,-0.0844,-0.4596,0.435,5.531151079,32.271696392621394,9.849992909829503,7.374488361135308
No escalation,56.0,52,Bronze,Business,North West,Healthcare,Phone,Technical,Invoice error,Basic,Mobile,Evening,211,1,6,0.6,Yes,0,0,17,2.2,-0.436254321,35.81,706.67,Low,No,42.1,60.8,52.5,65.5,58.7,0.273,0.2169,0.5233,-0.3108,-0.1039,0.038753997,0.0,6.559305836327056,5.899172752568698
Minor escalation,47.0,23,Silver,Retail,North West,Tech,Phone,Account,Payment failed,Premium,Mobile,Evening,287,2,17,2.7,No,1,1,11,3.24,-0.854124621,72.21,737.15,Medium,No,42.9,56.9,89.9,72.2,51.8,-0.4556,-1.2014,0.1821,0.0639,0.3411,2.655201873,18.920448606788234,13.737440751508574,10.120119321891998
Minor escalation,31.0,57,Bronze,Enterprise,Midlands,Healthcare,Email,Billing,Locked account,Basic,Web,Morning,168,1,13,5.2,No,1,0,36,1.49,0.961080122,44.41,808.2,Low,No,38.8,85.4,60.7,52.1,49.2,-1.128,-0.0186,2.2656,0.1201,0.6136,1.736958717,15.983663254769667,8.748570240522328,8.015444364752359
Serious escalation,34.0,6,Bronze,Enterprise,South East,Tech,In-app,Orders,Other,Standard,Call-Centre,Morning,193,1,69,0.0,Yes,0,0,15,1.41,0.410701361,19.63,565.25,Low,No,54.0,56.0,56.7,58.8,58.0,0.9371,0.2491,0.154,-1.061,1.9061,6.721773699,38.32354756363353,14.597066975143829,9.703708765194591
Minor escalation,48.0,21,Silver,Retail,London,Retail,Chat,Returns,Other,Premium,Mobile,Morning,178,0,10,2.8,No,2,1,17,1.33,-0.464722543,31.0,426.37,Low,No,68.1,42.8,45.6,35.8,40.4,-0.2506,-0.3757,0.9788,0.357,-0.3175,2.006794011,15.186844787302721,14.051222251081873,10.570544297615129
Minor escalation,22.0,29,Silver,Retail,Scotland,Education,Chat,Technical,Delayed delivery,Basic,Mobile,Morning,59,1,69,5.1,Yes,0,0,9,2.23,-0.143048879,43.94,50,Medium,No,54.8,58.5,61.0,72.0,41.4,1.782,-1.2608,0.1183,-1.288,1.3985,2.309411185,20.65583505278684,8.24703719633893,7.70003223749578
Minor escalation,27.0,16,Silver,Retail,Scotland,Retail,Email,Account,Locked account,Premium,Mobile,Evening,276,1,57,4.6,No,2,1,8,2.35,0.037064976,17.53,437.78,Low,Yes,47.7,65.2,51.6,81.5,26.8,0.9323,-0.4431,-0.23,0.8585,-1.8195,2.679623583,11.860820059487075,13.91482847182478,3.2092289501498388
No escalation,39.0,56,Bronze,Enterprise,North West,Tech,Chat,Other,Other,Standard,Mobile,Night,261,1,27,0.7,Yes,1,3,17,3.21,0.596236686,5.0,457.95,Medium,No,53.6,57.8,26.5,82.5,39.2,-0.2166,0.049,0.9197,0.6156,-1.6009,0.20630562,0.0,12.25239208136679,4.6136434030122535
Minor escalation,65.0,0,Silver,Other,North West,Education,Email,Account,Outage,Basic,Mobile,Afternoon,231,0,28,0.9,Yes,0,1,30,2.43,0.550038898,34.24,572.99,Low,No,33.1,40.5,57.5,49.7,43.3,0.8168,-0.131,-0.3361,1.1038,-0.5272,3.211659666,18.65870614773148,11.307925950760662,5.5593368270092585
No escalation,36.0,27,Bronze,Retail,South East,Retail,Phone,Other,Password reset,Standard,Web,Evening,43,0,62,3.1,Yes,0,0,15,1.07,0.180304088,52.21,484.93,Low,No,27.6,72.8,41.1,66.1,36.4,-0.3385,-0.2674,0.8234,1.1474,-1.2622,0.050449204,0.0,3.825735217415215,0.0
Serious escalation,29.0,41,Bronze,Retail,Midlands,Retail,Chat,Technical,Delayed delivery,Standard,Mobile,Afternoon,368,1,24,4.4,Yes,0,0,12,1.28,-0.472295966,66.94,669.7,Medium,No,69.4,64.3,49.9,48.9,51.9,-0.5891,1.8717,-0.8546,-0.0906,-1.3203,4.752162392,28.851699166531947,20.547875164875666,12.864458283694388
Minor escalation,46.0,0,Silver,Business,North West,Finance,Phone,Account,Damaged item,Premium,Mobile,Evening,138,1,10,4.6,Yes,1,1,14,4.35,0.942121914,24.96,,High,No,55.6,22.0,67.7,42.6,26.5,-2.3487,-0.6271,0.975,-0.6874,-0.7942,2.228045507,19.694373259633878,13.455196023356347,3.78472728544327
No escalation,18.0,30,Gold,Retail,London,Tech,Chat,Technical,Invoice error,Basic,Web,Morning,188,0,46,3.8,Yes,2,1,61,0.0,0.239951185,43.07,579.03,Medium,No,42.1,51.1,61.4,65.1,56.6,-0.1793,1.4273,-0.6311,0.8047,0.3489,0.167369746,0.0,7.267127965233581,9.888180442182525
No escalation,21.0,72,Bronze,Enterprise,Wales,Education,In-app,Billing,Outage,Standard,Mobile,Afternoon,186,1,50,3.6,Yes,1,0,18,4.63,-0.155613227,28.09,967.66,Low,Yes,73.6,58.8,31.0,44.5,34.4,-1.1156,0.0748,1.693,1.0821,0.531,-0.312420017,0.0,11.005219012992788,4.701440411784654
